card,reason
Lency Delgado,no_scp_url
Leonel Valera,no_scp_url
Levi Kelly,no_scp_url
Micah Bello,no_scp_url
Nick Kahle,no_scp_url
Omar Estevez,no_scp_url
Osiel Rodriguez,no_scp_url
Paul Richan,no_scp_url
Raimfer Salinas,no_scp_url
Randy Florentino,no_scp_url
Saul Garza,no_scp_url
Seth Gray,no_scp_url
Stephen Paolini,no_scp_url
Tahnaj Thomas,no_scp_url
Thomas Dillard,no_scp_url
Tony Dibrell,no_scp_url
Trey Harris,no_scp_url
Tyler Dyson,no_scp_url
Wilderd Patino,no_scp_url
Zach Watson,no_scp_url
Zack Hess,no_scp_url
Adam Kerner,no_scp_url
Aldo Ramirez,no_scp_url
Franyel Baez,no_scp_url
Malfrin Sosa,no_scp_url
William Holmes,no_scp_url
Gavin Tonkel,no_scp_url
Larry Ernesto,no_scp_url
Nathan Hickey,no_scp_url
Nathan Martorella,no_scp_url
Noah Miller,no_scp_url
Pablo Aliendo,no_scp_url
Parker Chavers,no_scp_url
Quincy Hamilton,no_scp_url
Reed Trimble,no_scp_url
Roilan Machandy,no_scp_url
Sebastian Espino,no_scp_url
Silas Ardoin,no_scp_url
Thomas Farr,no_scp_url
Tucker Toman,no_scp_url
Tyler Hardman,no_scp_url
Tyler Stuart,no_scp_url
Tyler Whitaker,no_scp_url
Victor Mesia,no_scp_url
Wilmin Candelario,no_scp_url
Yan Contreras,no_scp_url
Yeison Santana,no_scp_url
Zion Bannister,no_scp_url
Adam Crampton,no_scp_url
Andy Perez,no_scp_url
Ben Metzinger,no_scp_url
Bjay Cooke,no_scp_url
Braylin Tavera,no_scp_url
Brennan Milone,no_scp_url
Bryan Rincon,no_scp_url
Bryant Betancourt,no_scp_url
Cade Hunter,no_scp_url
Calvin Harris,no_scp_url
Carlos De La Cruz,no_scp_url
Chase Estep,no_scp_url
Chris Newell,no_scp_url
Clark Elliott,no_scp_url
Colin Peluse,no_scp_url
Connor Staine,no_scp_url
Damon Keith,no_scp_url
Daniel Mateo,no_scp_url
Danny Serretti,no_scp_url
Dario Borrero,no_scp_url
Dario Laverde,no_scp_url
Demetrio Crisantes,no_scp_url
Diego Hernandez,no_scp_url
Diego Mosquera,no_scp_url
Eddy Beltre,no_scp_url
Enmanuel Terrero,no_scp_url
Everett Cooper III,no_scp_url
Fredy Michel,no_scp_url
Geraldo Quintero,no_scp_url
Griff McGarry,no_scp_url
Hayden Dunhurst,no_scp_url
Jack Pineda,no_scp_url
Jackson Ferris,no_scp_url
Jadiel Sanchez,no_scp_url
Jair Casanova,no_scp_url
Javier Valdes,no_scp_url
Jesus Bastidas,no_scp_url
Jesus Bugarin,no_scp_url
Jhonny Piron,no_scp_url
Joel Diaz,no_scp_url
Jordy Vargas,no_scp_url
Jorel Ortega,no_scp_url
Josh Hood,no_scp_url
Juan Carela,no_scp_url
Juan Corniel,no_scp_url
Junior Franco,no_scp_url
Junior Marin,no_scp_url
Junior Tilien,no_scp_url
Kristin Munroe,no_scp_url
Lamar King Jr.,no_scp_url
Luis Ravelo,no_scp_url
Luis Reyes,no_scp_url
Luke Berryhill,no_scp_url
Luke Gold,no_scp_url
Maick Collado,no_scp_url
Marco Vargas,no_scp_url
Matthew Wood,no_scp_url
Nick Vogt,no_scp_url
Omari Daniel,no_scp_url
Paul McIntosh,no_scp_url
Peyton Williams,no_scp_url
Ricardo Olivar,no_scp_url
Ronald Hernandez,no_scp_url
Royber Salinas,no_scp_url
Samil De La Rosa,no_scp_url
Sem Robberse,no_scp_url
Spence Coffman,no_scp_url
Tommy Specht,no_scp_url
Torin Montgomery,no_scp_url
Trey Faltine,no_scp_url
Vaun Brown,no_scp_url
Wuilfredo Antunez,no_scp_url
Yeniel Laboy,no_scp_url
Yoander Rivero,no_scp_url
Yonatan Henriquez,no_scp_url
Aaron Parker,no_scp_url
Abdias De La Cruz,no_scp_url
Adler Cecil,no_scp_url
Adrian De Leon,no_scp_url
baseball-cards-2024-bowman-chrome-prospects/adriel-radney-bcp-191,soft_404
